relative_path,size_bytes,human_size,extension,channel,sha256
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/03｜文件对象入库总表.md,14880,14.5 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/04｜分库索引.md,5601,5.5 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/05｜笔记对象库｜小红书笔记对象总表（增强版）.md,123688,120.8 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/06｜标签词表与分析维度.md,6589,6.4 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/07｜产品库｜每日输入待处理索引.md,250,250 B,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/07｜文案库对象索引.md,2434,2.4 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/08｜思考论证对象索引.md,20357,19.9 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/09｜数据反馈对象索引.md,1782,1.7 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/09｜来源库｜每日输入待处理索引.md,3646,3.6 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/10｜产品对象索引.md,1429,1.4 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/13｜每日输入分发索引.md,15393,15.0 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜本身即美工程状态快照与后续优化建议.md,7261,7.1 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜本身即美工程阶段封存表.md,4953,4.8 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜本身即美待讨论区.md,842,842 B,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜本身即美文件归类一次性回填表.md,3381,3.3 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜杨梅酒与杨梅冰饮主题素材库.md,3542,3.5 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜杨梅酒与杨梅冰饮可视化执行看板.md,3490,3.4 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜杨梅酒与杨梅冰饮标准样片文案包.md,12075,11.8 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜杨梅酒与杨梅冰饮脚本方案包.md,5860,5.7 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜杨梅酒与杨梅冰饮项目全链路归档.md,13065,12.8 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第一阶段高价值笔记正文强回填执行版.md,23461,22.9 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第一阶段高价值笔记正文强回填清单.md,5358,5.2 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段主题全链路归档标准.md,1879,1.8 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段主题预选库.md,1829,1.8 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段多轮交互推进记录标准.md,1282,1.3 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段拍摄排期总表.md,5495,5.4 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段拍摄题材会议纪要｜豇豆包子标准样片.md,4768,4.7 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段样片项目流水线标准.md,1639,1.6 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段用户互动流程标准.md,3524,3.4 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜第二阶段笔记拍摄生产线.md,8522,8.3 KiB,.md,A_DIRECT_GIT,
50_输出区/来源路径保留/2026-06-05/new-chat-2/outputs/本身即美资料库/2026-06-07｜豇豆包子标准样片可视化执行看板.md,2823,2.8 KiB,.md,A_DIRECT_GIT,
